"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,6.73419561515609e-11,159,958,32,0.0334029227557411,0.20125786163522,"GO:0048754","GO:BP","branching morphogenesis of an epithelial tube",20972,12155,"GO:0035239;GO:0060562;GO:0061138"
"query_1",TRUE,9.6561140342912e-11,287,958,44,0.0459290187891441,0.153310104529617,"GO:0007162","GO:BP","negative regulation of cell adhesion",20972,2592,"GO:0007155;GO:0030155;GO:0048523"
"query_1",TRUE,1.11755009482076e-10,798,958,83,0.0866388308977036,0.104010025062657,"GO:0097435","GO:BP","supramolecular fiber organization",20972,17431,"GO:0016043"
"query_1",TRUE,1.49732640455445e-10,661,958,73,0.0762004175365344,0.110438729198185,"GO:0048589","GO:BP","developmental growth",20972,12011,"GO:0032502;GO:0040007"
"query_1",TRUE,1.62850324226867e-10,2963,958,213,0.222338204592902,0.0718866014174823,"GO:0065008","GO:BP","regulation of biological quality",20972,14785,"GO:0065007"
"query_1",TRUE,1.71017099208836e-10,292,958,44,0.0459290187891441,0.150684931506849,"GO:0045765","GO:BP","regulation of angiogenesis",20972,10829,"GO:0001525;GO:0022603;GO:1901342"
"query_1",TRUE,1.9321750991673e-10,216,958,37,0.0386221294363257,0.171296296296296,"GO:0045216","GO:BP","cell-cell junction organization",20972,10566,"GO:0034330"
"query_1",TRUE,2.05349961478071e-10,439,958,56,0.058455114822547,0.127562642369021,"GO:0042060","GO:BP","wound healing",20972,9312,"GO:0009611"
"query_1",TRUE,2.46773411337689e-10,1126,958,104,0.108559498956159,0.0923623445825933,"GO:0009790","GO:BP","embryo development",20972,3517,"GO:0007275"
"query_1",TRUE,2.50829145283271e-10,493,958,60,0.0626304801670146,0.121703853955375,"GO:0022407","GO:BP","regulation of cell-cell adhesion",20972,6164,"GO:0030155;GO:0098609"
"query_1",TRUE,2.50829145283271e-10,493,958,60,0.0626304801670146,0.121703853955375,"GO:0007264","GO:BP","small GTPase-mediated signal transduction",20972,2656,"GO:0141124"
"query_1",TRUE,2.6510349182485e-10,240,958,39,0.0407098121085595,0.1625,"GO:0009636","GO:BP","response to toxic substance",20972,3397,"GO:0042221"
"query_1",TRUE,2.80759612723228e-10,198,958,35,0.0365344467640919,0.176767676767677,"GO:0030323","GO:BP","respiratory tube development",20972,6332,"GO:0035295;GO:0048513"
"query_1",TRUE,3.27752894659082e-10,590,958,67,0.069937369519833,0.113559322033898,"GO:0040008","GO:BP","regulation of growth",20972,9262,"GO:0040007;GO:0050789"
"query_1",TRUE,3.38428907038057e-10,1010,958,96,0.100208768267223,0.0950495049504951,"GO:0031175","GO:BP","neuron projection development",20972,6636,"GO:0048666;GO:0120036"
