"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,6.7263059880951,0.351,0.001,0,"STC2"
0,6.7204391820728,0.375,0.002,0,"FOXQ1"
0,6.71970890070845,0.691,0.002,0,"MALL"
0,6.70752065751381,0.445,0.002,0,"NR2F1-AS1"
0,6.69773811501928,0.588,0.002,0,"TMEM125"
0,6.69166204525424,0.897,0.009,0,"TACSTD2"
0,6.69109056691843,0.595,0.003,0,"PARM1"
0,6.67434858459363,0.269,0.001,0,"TENT5B"
0,6.67065776563664,0.269,0.001,0,"PROX1"
0,6.66350114938325,0.323,0.001,0,"PTPRU"
0,6.62535212897726,0.553,0.002,0,"CDC42EP5"
0,6.62414676154618,0.275,0.002,0,"BPIFB2"
0,6.61551913859209,0.566,0.002,0,"PLOD2"
0,6.58460988482241,0.562,0.003,0,"SMARCA1"
0,6.57507380203285,0.813,0.012,0,"RNASE1"
0,6.5729622253191,0.976,0.042,0,"KRT18"
0,6.56913764799898,0.48,0.002,0,"KCNS3"
0,6.55962670072408,0.926,0.015,0,"MUC1"
0,6.55514635853368,0.618,0.003,0,"TMEM54"
0,6.55399898942956,0.382,0.001,0,"NECTIN4"
0,6.52486627518953,0.576,0.001,0,"PROM2"
0,6.52465134284656,0.68,0.003,0,"SCNN1A"
0,6.52231413414363,0.379,0.002,0,"TFCP2L1"
0,6.52196115829885,0.318,0.001,0,"DSG2"
0,6.51948453274806,0.629,0.004,0,"TSPAN8"
0,6.5063525149417,0.263,0.001,0,"GRHL2"
0,6.5037483995627,0.397,0.001,0,"PRR15L"
0,6.50332235708747,0.576,0.004,0,"WFDC3"
0,6.49162094642442,0.549,0.002,0,"SPRY4"
0,6.48270091547973,0.347,0.001,0,"RAP1GAP"
0,6.48013817344521,0.416,0.003,0,"SCG5"
0,6.4661991614369,0.306,0.001,0,"CAPN13"
0,6.45877608959659,0.437,0.001,0,"SFTA1P"
0,6.44253829527561,0.301,0.001,0,"CREB3L1"
0,6.44103914942987,0.762,0.007,0,"GPRC5A"
0,6.43746010278504,0.498,0.002,0,"MET"
0,6.42796511613697,0.712,0.006,0,"MAP1B"
0,6.42550746607767,0.34,0.001,0,"CADPS2"
0,6.41825254210249,0.378,0.001,0,"RAB17"
0,6.39024128051784,0.904,0.011,0,"ELF3"
0,6.38604762553155,0.367,0.002,0,"KCNQ3"
0,6.37283788676364,0.954,0.028,0,"KRT19"
0,6.34098494980218,0.885,0.017,0,"TCIM"
0,6.33057663223547,0.864,0.009,0,"CLDN7"
0,6.30635408050017,0.652,0.004,0,"SGMS2"
0,6.29286322995818,0.85,0.024,0,"HMGB3"
0,6.2878988121379,0.384,0.001,0,"MB"
0,6.282141209945,0.641,0.004,0,"C2"
0,6.27425041085954,0.75,0.004,0,"VWA1"
0,6.26947321701664,0.321,0.001,0,"LIPH"
0,6.26854546510212,0.27,0.001,0,"LYPD1"
0,6.25535241323573,0.459,0.003,0,"NOVA1"
0,6.2370858724866,0.619,0.003,0,"LIMCH1"
0,6.22458162021761,0.289,0.002,0,"ATOH8"
0,6.21689165759821,0.613,0.011,0,"ANGPTL4"
0,6.21232929651061,0.607,0.004,0,"CMBL"
0,6.19769551812312,0.488,0.002,0,"MACROD2"
0,6.19218303040674,0.908,0.032,0,"SERPINA1"
0,6.17716032278022,0.292,0.001,0,"SYT12"
0,6.14545686049301,0.378,0.002,0,"DDAH1"
